Nazwa zmiennej	wartość	Etykieta	etykieta	usemissing
SYTMAT	3	Na co dzień wystarcza, nie wystarcza na większe wydatki	Na co dzień wystarcza, nie wystarcza na większe wydatki	0,0
SYTMAT	4	Wystarcza na wszystkie wydatki	Wystarcza na wszystkie wydatki	0,0
SYTMAT	5	Jesteśmy zamożni	Jesteśmy zamożni	0,0
SYTMAT	7	Trudno powiedzieć	Trudno powiedzieć	0,0
SYTMATP5	1	Obecnie jest zdecydowanie gorsza	Obecnie jest zdecydowanie gorsza	0,0
SYTMATP5	2	Obecnie jest raczej gorsza	Obecnie jest raczej gorsza	0,0
SYTMATP5	3	Pozostała mniej więcej taka sama	Pozostała mniej więcej taka sama	0,0
SYTMATP5	4	Obecnie jest raczej lepsza	Obecnie jest raczej lepsza	0,0
SYTMATP5	5	Obecnie jest zdecydowanie lepsza	Obecnie jest zdecydowanie lepsza	0,0
SYTMATP5	7	Trudno powiedzieć	Trudno powiedzieć	0,0
SYTMATZ5	1	Będzie zdecydowanie gorsza	Będzie zdecydowanie gorsza	0,0
SYTMATZ5	2	Będzie raczej gorsza	Będzie raczej gorsza	0,0
SYTMATZ5	3	Pozostanie mniej więcej taka sama	Pozostanie mniej więcej taka sama	0,0
SYTMATZ5	4	Będzie raczej lepsza	Będzie raczej lepsza	0,0
SYTMATZ5	5	Będzie zdecydowanie lepsza	Będzie zdecydowanie lepsza	0,0
SYTMATZ5	7	Trudno powiedzieć	Trudno powiedzieć	0,0
JEZYKCZY	1	Tak	Tak	0,0
JEZYKCZY	0	Nie	Nie	0,0
JEZYKCZY	8	Brak odpowiedzi	Brak odpowiedzi	0,0
ZNJEZ	1	Tak	Tak	0,0
ZNJEZ	0	Nie	Nie	0,0
ZNJEZ	8	Brak odpowiedzi	Brak odpowiedzi	0,0
ZNJEZANG	1	Zna biegle (płynnie się posługuje)	Zna biegle (płynnie się posługuje)	0,0
ZNJEZANG	2	Zna dobrze (porozumiewa się swobodnie)	Zna dobrze (porozumiewa się swobodnie)	0,0
ZNJEZANG	3	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	0,0
ZNJEZANG	4	Zna słabo (zna pojedyncze słowa i zwroty)	Zna słabo (zna pojedyncze słowa i zwroty)	0,0
ZNJEZANG	5	Nie zna	Nie zna	0,0
ZNJEZANG	6	Trudno powiedzieć	Trudno powiedzieć	0,0
ZNJEZANG	99	Nie dotyczy	Nie dotyczy	0,0
ZNJEZNIE	1	Zna biegle (płynnie się posługuje)	Zna biegle (płynnie się posługuje)	0,0
ZNJEZNIE	2	Zna dobrze (porozumiewa się swobodnie)	Zna dobrze (porozumiewa się swobodnie)	0,0
ZNJEZNIE	3	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	0,0
ZNJEZNIE	4	Zna słabo (zna pojedyncze słowa i zwroty)	Zna słabo (zna pojedyncze słowa i zwroty)	0,0
ZNJEZNIE	5	Nie zna	Nie zna	0,0
ZNJEZNIE	6	Trudno powiedzieć	Trudno powiedzieć	0,0
ZNJEZNIE	99	Nie dotyczy	Nie dotyczy	0,0
ZNJEZFRA	1	Zna biegle (płynnie się posługuje)	Zna biegle (płynnie się posługuje)	0,0
ZNJEZFRA	2	Zna dobrze (porozumiewa się swobodnie)	Zna dobrze (porozumiewa się swobodnie)	0,0
ZNJEZFRA	3	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	0,0
ZNJEZFRA	4	Zna słabo (zna pojedyncze słowa i zwroty)	Zna słabo (zna pojedyncze słowa i zwroty)	0,0
ZNJEZFRA	5	Nie zna	Nie zna	0,0
ZNJEZFRA	6	Trudno powiedzieć	Trudno powiedzieć	0,0
ZNJEZFRA	99	Nie dotyczy	Nie dotyczy	0,0
ZNJEZROS	1	Zna biegle (płynnie się posługuje)	Zna biegle (płynnie się posługuje)	0,0
ZNJEZROS	2	Zna dobrze (porozumiewa się swobodnie)	Zna dobrze (porozumiewa się swobodnie)	0,0
ZNJEZROS	3	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	0,0
ZNJEZROS	4	Zna słabo (zna pojedyncze słowa i zwroty)	Zna słabo (zna pojedyncze słowa i zwroty)	0,0
ZNJEZROS	5	Nie zna	Nie zna	0,0
ZNJEZROS	6	Trudno powiedzieć	Trudno powiedzieć	0,0
ZNJEZROS	99	Nie dotyczy	Nie dotyczy	0,0
ZNJEZHIS	1	Zna biegle (płynnie się posługuje)	Zna biegle (płynnie się posługuje)	0,0
ZNJEZHIS	2	Zna dobrze (porozumiewa się swobodnie)	Zna dobrze (porozumiewa się swobodnie)	0,0
ZNJEZHIS	3	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	0,0
ZNJEZHIS	4	Zna słabo (zna pojedyncze słowa i zwroty)	Zna słabo (zna pojedyncze słowa i zwroty)	0,0
ZNJEZHIS	5	Nie zna	Nie zna	0,0
ZNJEZHIS	6	Trudno powiedzieć	Trudno powiedzieć	0,0
ZNJEZHIS	99	Nie dotyczy	Nie dotyczy	0,0
ZNJEZWLO	1	Zna biegle (płynnie się posługuje)	Zna biegle (płynnie się posługuje)	0,0
ZNJEZWLO	2	Zna dobrze (porozumiewa się swobodnie)	Zna dobrze (porozumiewa się swobodnie)	0,0
ZNJEZWLO	3	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	Zna średnio (porozumiewa się za pomocą podstawowych zwrotów)	0,0
ZNJEZWLO	4	Zna słabo (zna pojedyncze słowa i zwroty)	Zna słabo (zna pojedyncze słowa i zwroty)	0,0
ZNJEZWLO	5	Nie zna	Nie zna	0,0
ZNJEZWLO	6	Trudno powiedzieć	Trudno powiedzieć	0,0
ZNJEZWLO	99	Nie dotyczy	Nie dotyczy	0,0
JEZYKI_I	0	Nie zna żadnego języka lub zna podstawowe słowa	Nie zna żadnego języka lub zna podstawowe słowa	0,0
JEZYKI_I	1	Zna jeden język na poziomie podstawowym	Zna jeden język na poziomie podstawowym	0,0
JEZYKI_I	2	Zna dwa lub więcej języków na poziomie podstawowym	Zna dwa lub więcej języków na poziomie podstawowym	0,0
JEZYKI_I	3	Zna jeden język dobrze lub biegle	Zna jeden język dobrze lub biegle	0,0
JEZYKI_I	4	Zna dwa lub więcej języków dobrze lub biegle	Zna dwa lub więcej języków dobrze lub biegle	0,0
MIE_GDZIE	1	W mieszkaniu	W mieszkaniu	0,0
MIE_GDZIE	2	W domu jednorodzinnym	W domu jednorodzinnym	0,0
MIE_GDZIE	3	W segmencie	W segmencie	0,0
MIE_WLAS	1	Respondenta lub współmałżonka	Respondenta lub współmałżonka	0,0
MIE_WLAS	2	Innych członków rodziny	Innych członków rodziny	0,0
MIE_WLAS	3	Mieszkanie lokatorskie, komunalne lub służbowe	Mieszkanie lokatorskie, komunalne lub służbowe	0,0
MIE_WLAS	4	Innej osoby - wynajmowany	Innej osoby - wynajmowany	0,0
MIE_WLAS	8	Nie wie	Nie wie	0,0
NIERP_DOM	0	Nie	Nie	0,0
NIERP_DOM	1	Tak	Tak	0,0
NIERP_DOMS	0	Nie	Nie	0,0
NIERP_DOMS	1	Tak	Tak	0,0
NIERP_MIESZ	0	Nie	Nie	0,0
NIERP_MIESZ	1	Tak	Tak	0,0
NIERP_DZIA	0	Nie	Nie	0,0
NIERP_DZIA	1	Tak	Tak	0,0
NIERP_GRUN	0	Nie	Nie	0,0
NIERP_GRUN	1	Tak	Tak	0,0
NIERP_GOSP	0	Nie	Nie	0,0
NIERP_GOSP	1	Tak	Tak	0,0
NIERP_INNE	0	Nie	Nie	0,0
NIERP_INNE	1	Tak	Tak	0,0
NIERP_INDEX	0	Nie posiada	Nie posiada	0,0
NIERP_INDEX	1	Jedno/jeden	Jedno/jeden	0,0
NIERP_INDEX	2	Dwa i więcej	Dwa i więcej	0,0
NIER_KDOM	0	Nie	Nie	0,0
NIER_KDOM	1	Tak	Tak	0,0
NIER_BDOM	0	Nie	Nie	0,0
NIER_BDOM	1	Tak	Tak	0,0
NIER_DZGR	0	Nie	Nie	0,0
NIER_DZGR	1	Tak	Tak	0,0
NIER_ZAK	0	Nie	Nie	0,0
NIER_ZAK	1	Tak	Tak	0,0
DOBRA_SMAR	0	Nie	Nie	0,0
DOBRA_SMAR	1	Tak	Tak	0,0
DOBRA_TABL	0	Nie	Nie	0,0
DOBRA_TABL	1	Tak	Tak	0,0
DOBRA_KOMP	0	Nie	Nie	0,0
DOBRA_KOMP	1	Tak	Tak	0,0
DOBRA_TKAB	0	Nie	Nie	0,0
DOBRA_TKAB	1	Tak	Tak	0,0
DOBRA_ACYF	0	Nie	Nie	0,0
DOBRA_ACYF	1	Tak	Tak	0,0
DOBRA_TLCD	0	Nie	Nie	0,0
DOBRA_TLCD	1	Tak	Tak	0,0
DOBRA_DAGD	0	Nie	Nie	0,0
DOBRA_DAGD	1	Tak	Tak	0,0
DOBRA_MAGD	0	Nie	Nie	0,0
DOBRA_MAGD	1	Tak	Tak	0,0
DOBRA_SPOR	0	Nie	Nie	0,0
DOBRA_SPOR	1	Tak	Tak	0,0
DOBRA_ZAK	0	Nie kupuje	Nie kupuje	0,0
DOBRA_ZAK	1	Jedno	Jedno	0,0
DOBRA_ZAK	2	Dwa i więcej	Dwa i więcej	0,0
REM_BYL	0	Nie	Nie	0,0
REM_BYL	1	Tak	Tak	0,0
REMP_ZDOM	1	Tak	Tak	0,0
REMP_ZDOM	0	Nie	Nie	0,0
REMP_MIES	1	Tak	Tak	0,0
REMP_MIES	0	Nie	Nie	0,0
REMP_ELEW	1	Tak	Tak	0,0
REMP_ELEW	0	Nie	Nie	0,0
REMP_POKO	1	Tak	Tak	0,0
REMP_POKO	0	Nie	Nie	0,0
REMP_LAZI	1	Tak	Tak	0,0
REMP_LAZI	0	Nie	Nie	0,0
REMP_KUCH	1	Tak	Tak	0,0
REMP_KUCH	0	Nie	Nie	0,0
REMP_INST	1	Tak	Tak	0,0
REMP_INST	0	Nie	Nie	0,0
REMP_PGOS	1	Tak	Tak	0,0
REMP_PGOS	0	Nie	Nie	0,0
REMO_MBUD	1	Tak	Tak	0,0
REMO_MBUD	0	Nie	Nie	0,0
REMO_DACH	1	Tak	Tak	0,0
REMO_DACH	0	Nie	Nie	0,0
REMO_ANTY	1	Tak	Tak	0,0
REMO_ANTY	0	Nie	Nie	0,0
REMO_KLIM	1	Tak	Tak	0,0
REMO_KLIM	0	Nie	Nie	0,0
REMO_MEBL	1	Tak	Tak	0,0
REMO_MEBL	0	Nie	Nie	0,0
REMO_DYWA	1	Tak	Tak	0,0
REMO_DYWA	0	Nie	Nie	0,0
REM_FARB	0	Nie	Nie	0,0
REM_FARB	1	Tak	Tak	0,0
REM_PODL	0	Nie	Nie	0,0
REM_PODL	1	Tak	Tak	0,0
REM_GLAZ	0	Nie	Nie	0,0
REM_GLAZ	1	Tak	Tak	0,0
REM_ARMA	0	Nie	Nie	0,0
REM_ARMA	1	Tak	Tak	0,0
REM_GLAR	0	Nie	Nie	0,0
REM_GLAR	1	Tak	Tak	0,0
REM_OKNA	0	Nie	Nie	0,0
REM_OKNA	1	Tak	Tak	0,0
REM_OGRZ	0	Nie	Nie	0,0
REM_OGRZ	1	Tak	Tak	0,0
REM_IZOL	0	Nie	Nie	0,0
REM_IZOL	1	Tak	Tak	0,0
REM_INNE	0	Nie	Nie	0,0
REM_INNE	1	Tak	Tak	0,0
REM_ZAK	0	Nie kupuje	Nie kupuje	0,0
REM_ZAK	1	Jedno	Jedno	0,0
REM_ZAK	2	Dwa i więcej	Dwa i więcej	0,0
WNET_DYWA	0	Nie	Nie	0,0
WNET_DYWA	1	Tak	Tak	0,0
WNET_MEBL	0	Nie	Nie	0,0
WNET_MEBL	1	Tak	Tak	0,0
WNET_DEKO	0	Nie	Nie	0,0
WNET_DEKO	1	Tak	Tak	0,0
WNET_DEKD	0	Nie	Nie	0,0
WNET_DEKD	1	Tak	Tak	0,0
WNET_ZAK	0	Nie kupuje	Nie kupuje	0,0
WNET_ZAK	1	Jedno	Jedno	0,0
WNET_ZAK	2	Dwa i więcej	Dwa i więcej	0,0
WYPO_OSWI	0	Nie	Nie	0,0
WYPO_OSWI	1	Tak	Tak	0,0
WYPO_WENT	0	Nie	Nie	0,0
WYPO_WENT	1	Tak	Tak	0,0
WYPO_MEBW	0	Nie	Nie	0,0
WYPO_MEBW	1	Tak	Tak	0,0
WYPO_DYWA	0	Nie	Nie	0,0
WYPO_DYWA	1	Tak	Tak	0,0
WYPO_INTL	0	Nie	Nie	0,0
WYPO_INTL	1	Tak	Tak	0,0
WYPO_DEKO	0	Nie	Nie	0,0
WYPO_DEKO	1	Tak	Tak	0,0
WYPO_TEKS	0	Nie	Nie	0,0
WYPO_TEKS	1	Tak	Tak	0,0
OGRO_OCHR	0	Nie	Nie	0,0
OGRO_OCHR	1	Tak	Tak	0,0
OGRO_MASZ	0	Nie	Nie	0,0
OGRO_MASZ	1	Tak	Tak	0,0
OGRO_KOST	0	Nie	Nie	0,0
OGRO_KOST	1	Tak	Tak	0,0
OGRO_BRAM	0	Nie	Nie	0,0
OGRO_BRAM	1	Tak	Tak	0,0
SMCH_ILE	0	Nie ma	Nie ma	0,0
SMCH_ILE	1	Jeden	Jeden	0,0
SMCH_ILE	2	Dwa i więcej	Dwa i więcej	0,0
GOSPSAMO	0	Nie ma	Nie ma	0,0
GOSPSAMO	1	Jest	Jest	0,0
SMCH_10T	0	Nie	Nie	0,0
SMCH_10T	1	Tak	Tak	0,0
SMCH_39T	0	Nie	Nie	0,0
SMCH_39T	1	Tak	Tak	0,0
SMCH_40T	0	Nie	Nie	0,0
SMCH_40T	1	Tak	Tak	0,0
SMCH_BRAK	0	Nie	Nie	0,0
SMCH_BRAK	1	Tak	Tak	0,0
SMCH_ZAK	1	Tak	Tak	0,0
SMCH_ZAK	0	Nie	Nie	0,0
FIN_LOKT	0	Nie	Nie	0,0
FIN_LOKT	1	Tak	Tak	0,0
FIN_OBLI	0	Nie	Nie	0,0
FIN_OBLI	1	Tak	Tak	0,0
FIN_KRKR	0	Nie	Nie	0,0
FIN_KRKR	1	Tak	Tak	0,0
FIN_KRDL	0	Nie	Nie	0,0
FIN_KRDL	1	Tak	Tak	0,0
FIN_ZAK	0	Nie kupuje	Nie kupuje	0,0
FIN_ZAK	1	Jedno	Jedno	0,0
FIN_ZAK	2	Dwa i więcej	Dwa i więcej	0,0
UBEZ_ZYCI	0	Nie	Nie	0,0
UBEZ_ZYCI	1	Tak	Tak	0,0
UBEZ_CHOR	0	Nie	Nie	0,0
UBEZ_CHOR	1	Tak	Tak	0,0
UBEZ_AC	0	Nie	Nie	0,0
UBEZ_AC	1	Tak	Tak	0,0
UBEZ_DOM	0	Nie	Nie	0,0
UBEZ_DOM	1	Tak	Tak	0,0
UBEZ_ZAK	0	Nie kupuje	Nie kupuje	0,0
UBEZ_ZAK	1	Jedno	Jedno	0,0
UBEZ_ZAK	2	Dwa	Dwa	0,0
UBEZ_ZAK	3	Trzy i więcej	Trzy i więcej	0,0
FRYZ_KIEDY	1	W ciągu 30 dni	W ciągu 30 dni	0,0
FRYZ_KIEDY	2	W ciągu 3 miesięcy	W ciągu 3 miesięcy	0,0
FRYZ_KIEDY	3	W ciągu 6 miesięcy	W ciągu 6 miesięcy	0,0
FRYZ_KIEDY	4	Dawniej niż 6 miesięcy temu	Dawniej niż 6 miesięcy temu	0,0
FRYZ_KIEDY	5	Nigdy	Nigdy	0,0
KOSM_KIEDY	1	W ciągu 30 dni	W ciągu 30 dni	0,0
KOSM_KIEDY	2	W ciągu 3 miesięcy	W ciągu 3 miesięcy	0,0
KOSM_KIEDY	3	W ciągu 6 miesięcy	W ciągu 6 miesięcy	0,0
KOSM_KIEDY	4	Dawniej niż 6 miesięcy temu	Dawniej niż 6 miesięcy temu	0,0
KOSM_KIEDY	5	Nigdy	Nigdy	0,0
MASAZ_KIEDY	1	W ciągu 6 miesięcy	W ciągu 6 miesięcy	0,0
MASAZ_KIEDY	2	W ciągu 12 miesięcy	W ciągu 12 miesięcy	0,0
MASAZ_KIEDY	3	Dawniej niż 12 miesięcy temu	Dawniej niż 12 miesięcy temu	0,0
MASAZ_KIEDY	4	Nigdy	Nigdy	0,0
SPA_KIEDY	1	W ciągu 6 miesięcy	W ciągu 6 miesięcy	0,0
SPA_KIEDY	2	W ciągu 12 miesięcy	W ciągu 12 miesięcy	0,0
SPA_KIEDY	3	Dawniej niż 12 miesięcy temu	Dawniej niż 12 miesięcy temu	0,0
SPA_KIEDY	4	Nigdy	Nigdy	0,0
KOSM_KUPIL	1	Tak	Tak	0,0
KOSM_KUPIL	0	Nie	Nie	0,0
KOSM_WYDAL	1	Do 30 zł	Do 30 zł	0,0
KOSM_WYDAL	2	Od 30 do 49,9 zł	Od 30 do 49,9 zł	0,0
KOSM_WYDAL	3	Od 50 do 99,9 zł	Od 50 do 99,9 zł	0,0
KOSM_WYDAL	4	100 zł i więcej	100 zł i więcej	0,0
KOSM_WYDAL	8	Nie pamięta, odmowa odp.	Nie pamięta, odmowa odp.	0,0
KOSM_WYDAL	9	Nie kupował	Nie kupował	0,0
PERF_KUPIL	1	Tak	Tak	0,0
PERF_KUPIL	0	Nie	Nie	0,0
UBRA_KUPIL	1	Tak	Tak	0,0
UBRA_KUPIL	0	Nie	Nie	0,0
UBRA_WYDAL	1	Do 50 zł	Do 50 zł	0,0
UBRA_WYDAL	2	Od 50 do 99,9 zł	Od 50 do 99,9 zł	0,0
UBRA_WYDAL	3	Od 100 do 199,9 zł	Od 100 do 199,9 zł	0,0
UBRA_WYDAL	4	200 zł i więcej	200 zł i więcej	0,0
UBRA_WYDAL	8	Nie pamięta, odmowa odpowiedzi	Nie pamięta, odmowa odpowiedzi	0,0
UBRA_WYDAL	9	Nie kupował	Nie kupował	0,0
WG_KSIA	1	Tak	Tak	0,0
WG_KSIA	0	Nie	Nie	0,0
WG_KSIA	3	Nie wie	Nie wie	0,0
WGLR_KSIA	0	Nie posiada	Nie posiada	0,0
WGLR_KSIA	1	Poniżej 25	Poniżej 25	0,0
WGLR_KSIA	2	25-49	25-49	0,0
WGLR_KSIA	3	50-99	50-99	0,0
WGLR_KSIA	4	100-199	100-199	0,0
WGLR_KSIA	5	200 i więcej	200 i więcej	0,0
WGLR_KSIA	9	Posiada nieznaną liczbę	Posiada nieznaną liczbę	0,0
WG_PCD	1	Tak	Tak	0,0
WG_PCD	0	Nie	Nie	0,0
WG_PCD	3	Nie wie	Nie wie	0,0
WGLR_PCD	0	Nie posiada	Nie posiada	0,0
WGLR_PCD	1	Poniżej 25	Poniżej 25	0,0
WGLR_PCD	2	25-49	25-49	0,0
WGLR_PCD	3	50-99	50-99	0,0
WGLR_PCD	4	100 i więcej	100 i więcej	0,0
WGLR_PCD	9	Posiada nieznaną liczbę	Posiada nieznaną liczbę	0,0
WG_PDVD	1	Tak	Tak	0,0
WG_PDVD	0	Nie	Nie	0,0
WG_PDVD	3	Nie wie	Nie wie	0,0
WGLR_PDVD	0	Nie posiada	Nie posiada	0,0
WGLR_PDVD	1	Poniżej 25	Poniżej 25	0,0
WGLR_PDVD	2	25-49	25-49	0,0
WGLR_PDVD	3	50-99	50-99	0,0
WGLR_PDVD	4	100 i więcej	100 i więcej	0,0
WGLR_PDVD	9	Posiada nieznaną liczbę	Posiada nieznaną liczbę	0,0
KSIA_CZYT	1	Tak	Tak	0,0
KSIA_CZYT	0	Nie	Nie	0,0
KSIA_KUPIL	1	Tak	Tak	0,0
KSIA_KUPIL	0	Nie	Nie	0,0
ROZR_TEAT	0	Nie	Nie	0,0
ROZR_TEAT	1	Tak	Tak	0,0
ROZR_KINO	0	Nie	Nie	0,0
ROZR_KINO	1	Tak	Tak	0,0
ROZR_GRAK	0	Nie	Nie	0,0
ROZR_GRAK	1	Tak	Tak	0,0
DZCKO_PZAJEC	1	Tak	Tak	0,0
DZCKO_PZAJEC	0	Nie	Nie	0,0
DZCKO_PZAJEC	9	Nie dotyczy	Nie dotyczy	0,0
TUR_CZY	1	Tak	Tak	0,0
TUR_CZY	0	Nie	Nie	0,0
TUR_DZIA	0	Nie	Nie	0,0
TUR_DZIA	1	Tak	Tak	0,0
TUR_RKRA	0	Nie	Nie	0,0
TUR_RKRA	1	Tak	Tak	0,0
TUR_RZAG	0	Nie	Nie	0,0
TUR_RZAG	1	Tak	Tak	0,0
TUR_WKRA	0	Nie	Nie	0,0
TUR_WKRA	1	Tak	Tak	0,0
TUR_WZAG	0	Nie	Nie	0,0
TUR_WZAG	1	Tak	Tak	0,0
WCZOR_PRA	0	Nie czytał(a)	Nie czytał(a)	0,0
WCZOR_PRA	1	0.01-0.29	0.01-0.29	0,0
WCZOR_PRA	2	0.30-0.59	0.30-0.59	0,0
WCZOR_PRA	3	1.00-1.59	1.00-1.59	0,0
WCZOR_PRA	4	2.00-2.59	2.00-2.59	0,0
WCZOR_PRA	5	3.00-3.59	3.00-3.59	0,0
WCZOR_PRA	6	4.00-4.59	4.00-4.59	0,0
WCZOR_PRA	7	5.00 i więcej	5.00 i więcej	0,0
WCZOR_PRA	8	Brak odpowiedzi	Brak odpowiedzi	0,0
WCZOR_TV	0	Nie oglądał(a)	Nie oglądał(a)	0,0
WCZOR_TV	1	0.01-0.29	0.01-0.29	0,0
WCZOR_TV	2	0.30-0.59	0.30-0.59	0,0
WCZOR_TV	3	1.00-1.59	1.00-1.59	0,0
WCZOR_TV	4	2.00-2.59	2.00-2.59	0,0
WCZOR_TV	5	3.00-3.59	3.00-3.59	0,0
WCZOR_TV	6	4.00-4.59	4.00-4.59	0,0
WCZOR_TV	7	5.00 i więcej	5.00 i więcej	0,0
WCZOR_TV	8	Brak odpowiedzi	Brak odpowiedzi	0,0
WCZOR_RAD	0	Nie słuchał(a)	Nie słuchał(a)	0,0
WCZOR_RAD	1	0.01-0.29	0.01-0.29	0,0
WCZOR_RAD	2	0.30-0.59	0.30-0.59	0,0
WCZOR_RAD	3	1.00-1.59	1.00-1.59	0,0
WCZOR_RAD	4	2.00-2.59	2.00-2.59	0,0
WCZOR_RAD	5	3.00-3.59	3.00-3.59	0,0
WCZOR_RAD	6	4.00-4.59	4.00-4.59	0,0
WCZOR_RAD	7	5.00 i więcej	5.00 i więcej	0,0
WCZOR_RAD	8	Brak odpowiedzi	Brak odpowiedzi	0,0
WCZOR_INT	0	Nie korzystał(a)	Nie korzystał(a)	0,0
WCZOR_INT	1	0.01-0.29	0.01-0.29	0,0
WCZOR_INT	2	0.30-0.59	0.30-0.59	0,0
WCZOR_INT	3	1.00-1.59	1.00-1.59	0,0
WCZOR_INT	4	2.00-2.59	2.00-2.59	0,0
WCZOR_INT	5	3.00-3.59	3.00-3.59	0,0
WCZOR_INT	6	4.00-4.59	4.00-4.59	0,0
WCZOR_INT	7	5.00 i więcej	5.00 i więcej	0,0
WCZOR_INT	8	Brak odpowiedzi	Brak odpowiedzi	0,0
KOMP_KORZ	1	Tak	Tak	0,0
KOMP_KORZ	2	Nie	Nie	0,0
KOMP_CZEST	1	Codziennie lub prawie codziennie	Codziennie lub prawie codziennie	0,0
KOMP_CZEST	2	Przynajmniej raz w tygodniu	Przynajmniej raz w tygodniu	0,0
KOMP_CZEST	3	Rzadziej niż raz w tygodniu	Rzadziej niż raz w tygodniu	0,0
KOMP_CZEST	9	Nie korzystał w ciągu 3 mies.	Nie korzystał w ciągu 3 mies.	0,0
LEKP_BYL	1	Tak	Tak	0,0
LEKP_BYL	2	Nie	Nie	0,0
LEKP_PLAC	1	Tak	Tak	0,0
LEKP_PLAC	2	Nie	Nie	0,0
LEKP_PLAC	9	Nie był w ciągu 12 mies.	Nie był w ciągu 12 mies.	0,0
LEKS_BYL	1	Tak	Tak	0,0
LEKS_BYL	2	Nie	Nie	0,0
LEKS_PLAC	1	Tak	Tak	0,0
LEKS_PLAC	2	Nie	Nie	0,0
LEKS_PLAC	9	Nie był w ciągu 12 mies.	Nie był w ciągu 12 mies.	0,0
LEKD_BYL	1	Tak	Tak	0,0
LEKD_BYL	2	Nie	Nie	0,0
LEKD_PLAC	1	Tak	Tak	0,0
LEKD_PLAC	2	Nie	Nie	0,0
LEKD_PLAC	9	Nie był w ciągu 12 mies.	Nie był w ciągu 12 mies.	0,0
LEKB_BYL	1	Tak	Tak	0,0
LEKB_BYL	2	Nie	Nie	0,0
LEKB_PLAC	1	Tak	Tak	0,0
LEKB_PLAC	2	Nie	Nie	0,0
LEKB_PLAC	9	Nie był w ciągu 12 mies.	Nie był w ciągu 12 mies.	0,0
ZDRO_ZAK	0	Nie kupuje	Nie kupuje	0,0
ZDRO_ZAK	1	Jedną	Jedną	0,0
RA_T0001	0	Nie słuchał	Nie słuchał	0,0
RA_T0001	1	Słuchał	Słuchał	0,0
RA_D0001	0	Nie słuchał	Nie słuchał	0,0
RA_D0001	1	Słuchał	Słuchał	0,0
RA_T0002	0	Nie słuchał	Nie słuchał	0,0
RA_T0002	1	Słuchał	Słuchał	0,0
RA_D0002	0	Nie słuchał	Nie słuchał	0,0
RA_D0002	1	Słuchał	Słuchał	0,0
RA_T0003	0	Nie słuchał	Nie słuchał	0,0
RA_T0003	1	Słuchał	Słuchał	0,0
RA_D0003	0	Nie słuchał	Nie słuchał	0,0
RA_D0003	1	Słuchał	Słuchał	0,0
RA_T0004	0	Nie słuchał	Nie słuchał	0,0
RA_T0004	1	Słuchał	Słuchał	0,0
RA_D0004	0	Nie słuchał	Nie słuchał	0,0
RA_D0004	1	Słuchał	Słuchał	0,0
RA_T0005	0	Nie słuchał	Nie słuchał	0,0
RA_T0005	1	Słuchał	Słuchał	0,0
RA_D0005	0	Nie słuchał	Nie słuchał	0,0
RA_D0005	1	Słuchał	Słuchał	0,0
RA_T0006	0	Nie słuchał	Nie słuchał	0,0
RA_T0006	1	Słuchał	Słuchał	0,0
RA_D0006	0	Nie słuchał	Nie słuchał	0,0
RA_D0006	1	Słuchał	Słuchał	0,0
RA_T0007	0	Nie słuchał	Nie słuchał	0,0
RA_T0007	1	Słuchał	Słuchał	0,0
RA_D0007	0	Nie słuchał	Nie słuchał	0,0
RA_D0007	1	Słuchał	Słuchał	0,0
RA_T7915	0	Nie słuchał	Nie słuchał	0,0
RA_T7915	1	Słuchał	Słuchał	0,0
RA_D7915	0	Nie słuchał	Nie słuchał	0,0
RA_D7915	1	Słuchał	Słuchał	0,0
RA_T7911	0	Nie słuchał	Nie słuchał	0,0
RA_T7911	1	Słuchał	Słuchał	0,0
RA_D7911	0	Nie słuchał	Nie słuchał	0,0
RA_D7911	1	Słuchał	Słuchał	0,0
RA_T3112	0	Nie słuchał	Nie słuchał	0,0
RA_T3112	1	Słuchał	Słuchał	0,0
RA_D3112	0	Nie słuchał	Nie słuchał	0,0
RA_D3112	1	Słuchał	Słuchał	0,0
RA_T2717	0	Nie słuchał	Nie słuchał	0,0
RA_T2717	1	Słuchał	Słuchał	0,0
RA_D2717	0	Nie słuchał	Nie słuchał	0,0
RA_D2717	1	Słuchał	Słuchał	0,0
RA_T6311	0	Nie słuchał	Nie słuchał	0,0
RA_T6311	1	Słuchał	Słuchał	0,0
RA_D6311	0	Nie słuchał	Nie słuchał	0,0
RA_D6311	1	Słuchał	Słuchał	0,0
RA_T9318	0	Nie słuchał	Nie słuchał	0,0
RA_T9318	1	Słuchał	Słuchał	0,0
RA_D9318	0	Nie słuchał	Nie słuchał	0,0
RA_D9318	1	Słuchał	Słuchał	0,0
RA_T0511	0	Nie słuchał	Nie słuchał	0,0
